OBJECTID,NAME,UFID,TYPE,TSA,STREET,CITY,COUNTY,PFIZER_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE,MODERNA_AVAILABLE2,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,Total_Available,PublicPhone,WEBSITE,RemoveRecord,HOURSOFOPERATION,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
445,Heb Pharmacy 668,25202460,Pharmacy,,2990 E Hwy 190,Copperas Cove,Coryell,0,0,0,0,0,0,0,(254) 547-9755,https://www.heb.com/heb-store/US/tx/copperas-cove/copperas-cove-h-e-b-plus!-668?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: 10:00 AM – 5:00 PM",01/15/2021      ,16:56:52        ,-97.865825,31.120771
446,Heb Pharmacy 622,25203544,Pharmacy,,20725 Hwy 46 West,Spring Branch,Comal,0,0,0,0,0,0,0,(830) 438-3000,https://www.heb.com/heb-store/US/tx/spring-branch/bulverde-h-e-b-plus!-622?utm_source=google&utm_medium=organic&utm_campaign=gmb_stores,,,01/15/2021      ,16:37:03        ,-98.429951,29.796088
447,Heb Pharmacy 074,25245124,Pharmacy,,1655 Highway 46 West,New Braunfels,Comal,0,0,0,0,0,0,0,(936) 756-1435,https://www.heb.com/heb-store/US/tx/conroe/conroe-h-e-b-595?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: 10:00 AM – 5:00 PM",,,-98.159283,29.715639
448,Heb Pharmacy 380,25201636,Pharmacy,,651 S Walnut,New Braunfels,Comal,0,0,0,0,0,0,0,(830) 609-1944,https://www.heb.com/heb-store/US/tx/new-braunfels/new-braunfels-h-e-b-at-walnut-380?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: 10:00 AM – 5:00 PM",01/15/2021      ,16:33:03        ,-98.126724,29.688018
449,Heb Pharmacy 489,25201481,Pharmacy,,2250 Boca Chica Blvd,Brownsville,Cameron,0,0,0,0,0,0,0,(956) 541-0384,https://www.heb.com/heb-store/US/tx/brownsville/boca-chica-h-e-b-489?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,,,,-97.488644,25.919328
450,Heb Pharmacy 446,25201478,Pharmacy,,2155 Paredes Line Rd,Brownsville,Cameron,0,0,0,0,0,0,0,(956) 574-9707,https://www.heb.com/heb-store/US/tx/brownsville/paredes-and-torres-h-e-b-plus!-446?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: 10:00 AM – 5:00 PM",,,-97.487116,25.949846
451,Heb Pharmacy 263,25201475,Pharmacy,,1628 Central Blvd,Brownsville,Cameron,0,0,0,0,0,0,0,(956) 542-0934,https://www.heb.com/heb-store/US/tx/brownsville/central-blvd-h-e-b-263?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: 10:00 AM – 5:00 PM",,,-97.511293,25.92645
452,Heb Pharmacy 434,25202494,Pharmacy,,101 Calhoun Plz,Port Lavaca,Calhoun,0,0,0,0,0,0,0,(361) 552-4563,https://www.heb.com/heb-store/US/tx/port-lavaca/port-lavaca-h-e-b-434?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 7:00 PM,Tuesday: 8:00 AM – 7:00 PM,Wednesday: 8:00 AM – 7:00 PM,Thursday: 8:00 AM – 7:00 PM,Friday: 8:00 AM – 7:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: 10:00 AM – 2:00 PM",,,-96.638208,28.62533
453,Heb Pharmacy 445,25202497,Pharmacy,,403 S Colorado St,Lockhart,Caldwell,0,0,0,0,0,0,0,(512) 398-6797,https://www.heb.com/heb-store/US/tx/lockhart/lockhart-h-e-b-445?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: 10:00 AM – 5:00 PM",,,-97.669661,29.881464
454,Heb Pharmacy 735,25202453,Pharmacy,,1503 Fm 1431,Marble Falls,Burnet,0,0,0,0,0,0,0,(210) 927-6875,https://www.heb.com/heb-store/US/tx/san-antonio/military-and-pleasanton-h-e-b-427?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: 10:00 AM – 5:00 PM",,,-98.279117,30.581415
455,CHRISTUS Spohn Family Health Center-Westside,25293206,Community Clinic,,4617 Greenwood Dr,Corpus Christi,Nueces,0,0,0,0,0,0,0,,,,,,,-97.437207,27.750695
456,Heb Pharmacy 200,25307871,Pharmacy,,800 S Saint Marys St,Falfurrias,Brooks,0,0,0,0,0,0,0,(830) 774-4579,https://www.heb.com/heb-store/US/tx/del-rio/avenue-f-and-gibbs-h-e-b-418?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 8:30 AM – 6:00 PM,Sunday: 10:00 AM – 5:00 PM",01/15/2021      ,16:21:38        ,-98.145236,27.219612
457,Heb Pharmacy 168,25201625,Pharmacy,,1103 Morgan Blvd,Harlingen,Cameron,0,0,0,0,0,0,0,(956) 440-1787,https://www.heb.com/heb-store/US/tx/harlingen/morgan-and-grimes-h-e-b-168?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,,01/15/2021      ,17:25:58        ,-97.676499,26.202959
458,Heb Pharmacy 433,25202493,Pharmacy,,105 S Boundary St,Burnet,Burnet,0,0,8,0,8,0,8,(512) 715-0701,https://www.heb.com/heb-store/US/tx/burnet/burnet-h-e-b-433?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,,,,-98.224319,30.758448
459,Heb Pharmacy 741,30006780,Pharmacy,,13401 I10 East,Baytown,Chambers,0,0,0,0,0,0,0,(281) 420-9300,https://www.heb.com/pharmacy?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: 10:00 AM – 5:00 PM",,,-94.849766,29.826229
460,Heb Pharmacy 085,25202397,Pharmacy,,10718 Potranco,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 945-2120,https://www.heb.com/heb-store/US/tx/universal-city/kitty-hawk-h-e-b-555?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,,,,-98.703595,29.435648
461,Heb Pharmacy 084,25202396,Pharmacy,,6818 S Zarzamora St,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 927-4596,https://www.heb.com/heb-store/US/tx/san-antonio/zarzamora-and-military-h-e-b-plus!-84?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: 10:00 AM – 5:00 PM",,,-98.534054,29.359832
462,Heb Pharmacy 771,30040107,Pharmacy,,14325 Potranco Rd,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 257-2827,https://www.heb.com/pharmacy?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,,,,-98.781059,29.421389
463,Heb Pharmacy 733,30006720,Pharmacy,,12125 Alamo Ranch Pkwy,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 688-9584,https://www.heb.com/pharmacy?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 9:00 AM – 6:00 PM,Sunday: 10:00 AM – 5:00 PM",,,-98.734704,29.484596
464,MEDICAL CTR HSP PHARMACY DEPT,25307527,Hospital,J,500 W 4th St, Odessa,Ector,0,0,0,0,0,0,0,,,,,01/16/2021      ,10:57:43        ,-102.373158,31.845315
465,ZEALTH CARE PLLC,1255767687,Medical Practice,Q,19121 W Little York Rd Ste B,Katy,Harris,0,0,0,0,0,0,0,(713) 955-5200,http://www.zealthcaretx.com/,,"Monday: 9:00 AM – 6:00 PM,Tuesday: 9:00 AM – 6:00 PM,Wednesday: 9:00 AM – 6:00 PM,Thursday: 9:00 AM – 6:00 PM,Friday: 9:00 AM – 6:00 PM,Saturday: Closed,Sunday: Closed",01/16/2021      ,08:03:58        ,-95.701223,29.864535
466,DENTON STATE SUPPORTED LIVING CTR,6025,Pharmacy,E,3980 State School Rd,Denton,Denton,0,0,0,0,0,0,0,(940) 891-0342,https://apps.hhs.texas.gov/contact/livingcenters.html,,,,,-97.096051,33.165737
467,FAMILY FIRST URGENT CARE,1356571764,Other,Q,2510 S Loop 336 W,Conroe,Montgomery,0,0,0,0,0,0,0,(936) 235-2825,http://www.familyfirsturgentcareconroe.com/,,,01/16/2021      ,13:41:47        ,-95.492021,30.289276
468,DSHS PHARMACY BRANCH,6301,Pharmacy,O,1111 North Loop,Austin,Travis,0,0,0,0,0,0,0,,,,,,,-97.733452,30.323
469,KERRVILLE STATE HOSP,454014,Hospital,P,721 Thompson Dr,Kerrville,Kerr,0,0,0,0,0,0,0,(830) 896-2211,http://www.dshs.texas.gov/mhhospitals/kerrvillesh/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",,,-99.154383,30.04756
470,HCA HOUSTON HEALTHCARE TOMBALL,4874,Hospital,Q,605 Holderreith Blvd,Tomball,Harris,0,0,80,0,80,0,80,(281) 401-7500,https://hcahoustonhealthcare.com/locations/tomball?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,,,01/15/2021      ,07:27:53        ,-95.620721,30.087395
471,HCA HOUSTON HEALTHCARE WEST,4875,Hospital,Q,12141 Richmond Ave,Houston,Harris,0,0,0,0,0,0,0,(281) 558-3444,https://hcahoustonhealthcare.com/specialties/emergency-care?location=west,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/15/2021      ,14:55:08        ,-95.59474,29.730289
472,EDINBURG REGIONAL MEDICAL CENTER (STHS),12707,Pharmacy,V,1102 W Trenton Road,Edinburg,Hidalgo,0,0,300,0,300,0,300,(956) 388-6000,https://southtexashealthsystemedinburg.com/?utm_source=google-business&utm_medium=organic&utm_campaign=homepage,,,01/15/2021      ,08:22:16        ,-98.182748,26.263258
473,CHRISTUS GOOD SHEPHERD - LONGVIEW,12587,Hospital,G,700 E Marshall Ave, Longview,Gregg,975,942,200,0,1175,942,2117,(903) 315-2000,https://www.christushealth.org/good-shepherd/longview?utm_source=organic&utm_medium=GMB&utm_campaign=website,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/16/2021      ,13:17:46        ,-94.73146,32.501452
474,CHRISTUS MOTHER FRANCES - TYLER,12588,Hospital,G,800 E Dawson,Tyler,Smith,0,0,2248,0,2248,0,2248,(903) 593-8441,https://www.christushealth.org/trinity/tyler?utm_source=organic&utm_medium=GMB&utm_campaign=website&y_source=1_MTE3ODE0OTItNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,,,01/15/2021      ,10:30:20        ,-95.292078,32.342265
475,HCA HOUSTON HEALTHCARE MAINLAND ,12281,Hospital,R,6801 Emmett F Lowry Expy, Texas City,Galveston,0,0,0,0,0,0,0,(409) 938-5000,https://hcahoustonhealthcare.com/locations/mainland?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/14/2021      ,07:53:08        ,-94.986821,29.393779
477,CRANE  MEMORIAL HOSPITAL,12904,Medical Practice,J,1310 S Alford St,Crane,Crane,0,0,0,0,0,0,0,(432) 558-3758,http://www.cranememorial.org/,,,01/16/2021      ,08:03:28        ,-102.34923,31.389871
478,PERMIAN REGIONAL MEDICAL CENTER,12899,Hospital,J,720 Hospital Dr,Andrews,Andrews,0,0,0,0,0,0,0,(432) 523-2200,http://permianregional.com/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/16/2021      ,11:18:51        ,-102.546054,32.337043
479,SCENIC MOUNTAIN MEDICAL CENTER,12901,Hospital,J,1601 W 11th Pl,Big Spring,Howard,0,0,0,0,0,0,0,(432) 263-1211,https://www.scenicmountainmedical.org/?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/15/2021      ,11:51:56        ,-101.490589,32.23521
480,MISSION REGIONAL MEDICAL CENTER,11779,Pharmacy,V,900 S Bryan Rd,Mission,Hidalgo,0,1135,0,0,0,1135,1135,(956) 323-9000,http://missionrmc.org/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/16/2021      ,09:04:28        ,-98.312757,26.196391
481,RIO GRANDE REGIONAL HOSPITAL,11780,Hospital,V,101 E Ridge Road,Mcallen,Hidalgo,0,120,0,0,0,120,120,(956) 632-6000,http://riohealth.com/home/?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,,,01/16/2021      ,06:26:01        ,-98.222566,26.185764
482,STARR COUNTY MEMORIAL HOSPITAL,11782,Hospital,V,128 N Fm 3167,Rio Grande City,Starr,0,0,0,0,0,0,0,,,,,,,-98.855946,26.387511
483,KNAPP MEDICAL CENTER,11775,Hospital,V,1401 E 8th St,Weslaco,Hidalgo,0,0,0,0,0,0,0,(773) 890-0800,https://care.advocatehealth.com/doctors/keith-knapp-chicago-family-medicine,,,01/15/2021      ,07:04:10        ,-97.976387,26.151985
484,EL CAMPO MEMORIAL HOSPITAL,8651,Hospital,Q,303 Sandy Corner Rd,El Campo,Wharton,0,0,100,0,100,0,100,(979) 543-6251,http://www.ecmh.org/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/16/2021      ,07:16:57        ,-96.28959,29.219335
485,HARLINGEN MEDICAL CENTER,11769,Hospital,V,5501 S Expressway 77,Harlingen,Cameron,0,0,0,0,0,0,0,(956) 365-1000,https://www.harlingenmedicalcenter.com/,,,,,-97.675956,26.156608
486,COVENANT MEDICAL CENTER,11653,Hospital,B,3615 19th St,Lubbock,Lubbock,0,1635,0,0,0,1635,1635,(806) 725-0000,http://www.covenanthealth.org/,,,01/16/2021      ,08:49:40        ,-101.892174,33.577873
487,CHRISTUS SPOHN CC-SHORELINE,11496,Hospital,U,600 Elizabeth St,Corpus Christi,Nueces,0,3815,0,0,0,3815,3815,(361) 881-3000,https://www.christushealth.org/spohn/shoreline?utm_source=organic&utm_medium=GMB&utm_campaign=website&y_source=1_MTUzNzY2MDUtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,,,01/15/2021      ,11:19:57        ,-97.393992,27.777518
488,UNITED MEMORIAL MEDICAL CENTER,8185,Hospital,Q,510 West Tidwell Road,Houston,Harris,0,0,537,0,537,0,537,(281) 618-8500,https://ummc.care/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/15/2021      ,14:18:43        ,-95.408621,29.847243
489,MEDICAL CENTER OF SOUTHEAST TEXAS,8333,Hospital,R,2555 Jimmy Johnson Blvd,Port Arthur,Jefferson,100,975,300,0,400,975,1375,(409) 724-7389,https://www.medicalcentersetexas.org/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/15/2021      ,10:05:21        ,-93.988654,29.933825
490,HCA HOUSTON HEALTHCARE CONROE,11757,Hospital,Q,504 Medical Center Blvd,Conroe,Montgomery,0,0,50,0,50,0,50,(936) 539-1111,https://hcahoustonhealthcare.com/conroe?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/14/2021      ,10:19:16        ,-95.4688,30.28289
491,MEMORIAL HERMANN SUGAR LAND,11758,Hospital,Q,17500 W Grand Pkwy S,Sugar Land,Fort Bend,60,200,1465,0,1525,200,1725,(281) 725-5000,https://www.memorialhermann.org/locations/sugar-land?utm_campaign=reputation-management&utm_segment=gmb_listing-link&utm_source=google&utm_medium=organic-search,,,01/15/2021      ,07:43:14        ,-95.689093,29.564155
492,MEMORIAL HERMANN KATY,11759,Hospital,Q,23900 Katy Fwy,Katy,Fort Bend,496,304,0,0,496,304,800,(281) 644-7000,http://www.memorialhermann.org/locations/katy?utm_campaign=reputation-management&utm_segment=gmb_listing-link&utm_source=google&utm_medium=organic-search,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/15/2021      ,05:10:26        ,-95.786188,29.78594
493,"ST. JOSEPH REGIONAL HEALTH CENTER, BRYAN",11712,Hospital,N,2801 Franciscan Dr, Bryan,Brazos,0,0,0,0,0,0,0,(979) 776-3777,https://stjoseph.stlukeshealth.org/locations/chi-st-joseph-health-regional-hospital?utm_source=LocalSearch&utm_medium=Facility&utm_campaign=CHITexas&utm_term=CHIStJosephRegionalHealthCareCenter&y_source=1_MTUxNjI2MTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/16/2021      ,07:59:06        ,-96.346721,30.655981
494,DRISCOLL CHILDREN'S HOSPITAL,11506,Hospital,U,3533 S Alameda,Corpus Christi,Nueces,0,0,0,0,0,0,0,(361) 694-5000,http://www.driscollchildrens.org/,,,01/15/2021      ,10:24:43        ,-97.385063,27.749356
495,DOCTORS HOSPITAL OF LAREDO,92706,Hospital,T,10700 Mcpherson Rd,Laredo,Webb,0,0,0,0,0,0,0,(956) 523-2000,https://www.doctorshosplaredo.com/?utm_source=google-business&utm_medium=organic&utm_campaign=homepage,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/15/2021      ,11:27:39        ,-99.53371,27.648832
496,HOUSTON METHODIST THE WOODLANDS,168532,Hospital,Q,17201 Interstate 45 S,Conroe,Montgomery,50,0,0,300,50,300,350,(936) 270-2000,https://www.houstonmethodist.org/locations/the-woodlands/?utm_source=gmb&utm_medium=organic&utm_campaign=all_front_door_gmb&utm_content=website-click,,,01/16/2021      ,17:02:59        ,-95.455513,30.205164
499,MEMORIAL HERMANN CYPRESS,166893,Hospital,Q,28770 Northwest Freeway, Cypress,Harris,0,115,0,0,0,115,115,(346) 231-4000,http://www.memorialhermann.org/locations/cypress/?utm_campaign=reputation-management&utm_segment=gmb_listing-link&utm_source=google&utm_medium=organic-search,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/16/2021      ,13:03:11        ,-95.73302,29.98702
500,STAT SPECIALTY HOSPITAL OF LAREDO,138418,Hospital,T,2502 Ne Bob Bullock Loop,Laredo,Webb,0,1695,0,0,0,1695,1695,(830) 498-3000,http://www.statspecialtyhospital.com/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/15/2021      ,10:32:12        ,-99.469317,27.612929
501,MEMORIAL HERMANN PEARLAND HOSPITAL,149084,Hospital,R,16100 South Fwy,Pearland,Brazoria,13,42,0,0,13,42,55,(713) 413-5000,https://www.memorialhermann.org/locations/pearland?utm_campaign=reputation-management&utm_segment=gmb_listing-link&utm_source=google&utm_medium=organic-search,,,01/15/2021      ,11:00:01        ,-95.387116,29.571386
502,HCA HOUSTON HEALTHCARE PEARLAND,133824,Hospital,R,11100 Shadow Creek Parkway,Pearland,Brazoria,0,0,0,0,0,0,0,(713) 770-7000,https://hcahoustonhealthcare.com/locations/pearland?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,,,01/16/2021      ,15:22:43        ,-95.390319,29.577747
503,ADVENTHEALTH CENTRAL TEXAS,16300,Hospital,L,2201 S Clear Creek Rd,Killeen,Bell,0,0,1040,50,1040,50,1090,(254) 526-7523,https://www.adventhealth.com/video-visits,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/15/2021      ,16:10:45        ,-97.773496,31.082678
504,CORYELL MEMORIAL HOSPITAL,16294,Other,L,1507 W Main St,Gatesville,Coryell,0,0,0,0,0,0,0,(254) 865-2166,https://coryellhealth.org/coryell-health-medical-clinic/clinics/coryell-health-medical-clinic,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 8:00 AM – 6:00 PM,Sunday: Closed",01/15/2021      ,09:23:09        ,-97.777767,31.433365
505,CHI- ST. LUKE'S PATIENTS MEDICAL CENTER,16168,Pharmacy,Q,4600 E Sam Houston Pkwy S,Pasadena,Harris,0,0,0,0,0,0,0,(713) 948-7000,https://www.stlukeshealth.org/locations/patients-medical-center?utm_source=LocalSearch&utm_medium=Facility&utm_campaign=CHITexas&utm_term=CHIStLukesHealthPatientsMedicalCenter&y_source=1_MTUxNjI3NTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,01/15/2021      ,07:53:40        ,-95.159975,29.641191
506,PALO PINTO GENERAL HOSPITAL,15619,Hospital,E,400 Sw 25th Ave,Mineral Wells,Palo Pinto,0,0,0,0,0,0,0,(940) 325-7891,http://www.ppgh.com/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/16/2021      ,08:48:32        ,-98.14533,32.799587
507,BAYLOR SCOTT & WHITE MC - ROUND ROCK,15731,Pharmacy,O,300 University Blvd,Round Rock,Williamson,35,175,0,0,35,175,210,(512) 509-0100,https://www.bswhealth.com/locations/round-rock?y_source=1_MTM0MTE3MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU=,,,01/16/2021      ,10:59:30        ,-97.685378,30.560177
508,HCA HOUSTON HEALTHCARE NORTH CYPRESS,14762,Pharmacy,Q,21214 Northwest Fwy,Cypress,Harris,0,0,10,0,10,0,10,(832) 912-3500,https://hcahoustonhealthcare.com/locations/north-cypress?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,,,01/15/2021      ,19:54:38        ,-95.632134,29.927251
509,SHANNON MEDICAL CENTER,14557,Hospital,K,120 E Harris Ave, San Angelo,Tom Green,0,0,0,0,0,0,0,(325) 653-6741,http://www.shannonhealth.com/,,,,,-100.435134,31.464474
510,NORTH RUNNELS HOSPITAL,14553,Hospital,K,7821 Hwy 153,Winters,Runnels,0,0,0,0,0,0,0,(325) 754-4553,http://www.northrunnelshospital.com/,,,01/13/2021      ,09:55:34        ,-99.9595,31.949806
511,FALLS COMMUNITY HOSPITAL,13228,Hospital,M,322 Coleman Street, Marlin,Falls,0,0,0,0,0,0,0,(254) 803-3561,http://www.fallshospital.com/,,,,,-96.894062,31.307442
512,HILL REGIONAL HOSPITAL,12959,Hospital,M,101 Circle Dr,Hillsboro,Hill,0,0,0,0,0,0,0,(254) 580-8500,https://www.hillregionalhospital.com/?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,,,01/14/2021      ,09:35:31        ,-97.099259,32.012226
513,BAYLOR S&W HILLCREST MEDICAL CENTER,12960,Pharmacy,M,100 Hillcrest Medical Blvd,Waco,McLennan,0,565,0,0,0,565,565,(254) 202-2000,https://www.bswhealth.com/locations/hillcrest?y_source=1_MTM0MTE2OTYtNzE1LWxvY2F0aW9uLndlYnNpdGU=,,,01/16/2021      ,10:36:22        ,-97.156962,31.489104
